id,name,description,price,stock_quantity,category,image_url
1,verykool SL5000 Quantum,"Posterior subluxation of right sternoclavicular joint, initial encounter",$2.79,32,Drywall & Acoustical (FED),https://picsum.photos/200/300
2,Amoi A310,Fracture of unspecified phalanx of left little finger,$7.56,43,Structural & Misc Steel Erection,https://picsum.photos/200/300
3,Infinix Hot 10,"Laceration with foreign body of right buttock, subsequent encounter",$2.59,11,Masonry & Precast,https://picsum.photos/200/300
4,Huawei U121,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,$6.43,27,Marlite Panels (FED),https://picsum.photos/200/300
5,Realme XT 730G,"Injury of acoustic nerve, left side",$1.23,49,Prefabricated Aluminum Metal Canopies,https://picsum.photos/200/300
6,Samsung E2550 Monte Slider,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium",$7.96,41,Wall Protection,https://picsum.photos/200/300
7,Siemens Xelibri 6,"Strain of flexor muscle, fascia and tendon of left ring finger at wrist and hand level, sequela",$8.14,35,Rebar & Wire Mesh Install,https://picsum.photos/200/300
8,Sony SmartWatch 3 SWR50,Corrosions involving 70-79% of body surface with 60-69% third degree corrosion,$3.71,35,Fire Protection,https://picsum.photos/200/300
9,LG Optimus Sol E730,"Drowning and submersion due to being washed overboard from merchant ship, sequela",$1.27,3,HVAC,https://picsum.photos/200/300
10,vivo Z3x,Insect bite (nonvenomous) of right eyelid and periocular area,$0.79,50,Prefabricated Aluminum Metal Canopies,https://picsum.photos/200/300
11,Eten G500,"Sprain of metatarsophalangeal joint of left great toe, sequela",$1.61,34,Casework,https://picsum.photos/200/300
12,BLU Vivo XL4,"Unspecified fracture of shaft of unspecified fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",$7.18,31,Hard Tile & Stone,https://picsum.photos/200/300
13,HTC Windows Phone 8X,"Legal intervention involving other firearm discharge, law enforcement official injured, initial encounter",$4.63,39,Drywall & Acoustical (FED),https://picsum.photos/200/300
14,Celkon C201,Unsatisfactory cytologic smear of vagina,$9.33,36,Ornamental Railings,https://picsum.photos/200/300
15,Qtek 2020i,Other specified degenerative diseases of nervous system,$8.83,42,Overhead Doors,https://picsum.photos/200/300
16,ZTE Axon 10s Pro 5G,"Nondisplaced fracture of body of right calcaneus, sequela",$7.48,14,Wall Protection,https://picsum.photos/200/300
17,Amoi A10,"Underdosing of unspecified systemic antibiotic, sequela",$6.51,9,Landscaping & Irrigation,https://picsum.photos/200/300
18,Nokia E65,"Puncture wound with foreign body of lower back and pelvis without penetration into retroperitoneum, initial encounter",$6.84,9,RF Shielding,https://picsum.photos/200/300
19,Micromax X490,"Abrasion, right hip",$7.95,50,Roofing (Asphalt),https://picsum.photos/200/300
20,LG B2050,"Wedge compression fracture of third thoracic vertebra, initial encounter for closed fracture",$4.65,4,EIFS,https://picsum.photos/200/300
21,HP iPAQ hw6915,Unspecified mononeuropathy of left lower limb,$7.75,48,Marlite Panels (FED),https://picsum.photos/200/300
22,Honor 3X G750,"Nondisplaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with nonunion",$0.14,26,Termite Control,https://picsum.photos/200/300
23,LG Volt,"Puncture wound without foreign body of unspecified external genital organs, male, subsequent encounter",$3.10,33,Masonry & Precast,https://picsum.photos/200/300
